title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
The Demon of the Dugout,Scooby-Doo and Scrappy-Doo (first series),11/3/79,3.931825633,Fred/Daphne/Velma,7.5,TV,5,0,1,0,0,1
The Hairy Scare of the Devil Bear,Scooby-Doo and Scrappy-Doo (first series),11/10/79,3.970291914,Shaggy/Scooby,7.3,TV,5,1,0,0,0,1
Twenty Thousand Screams Under the Sea,Scooby-Doo and Scrappy-Doo (first series),11/17/79,3.850147602,Fred/Daphne/Velma,7.6,TV,10,0,1,0,0,1
I Left My Neck in San Francisco,Scooby-Doo and Scrappy-Doo (first series),11/24/79,3.951243719,Fred/Daphne/Velma,8,TV,7,0,1,0,0,1
When You Wish Upon a Star Creature,Scooby-Doo and Scrappy-Doo (first series),12/1/79,3.871201011,Fred/Daphne/Velma,7.2,TV,9,0,1,0,0,1
"The Ghoul, the Bat and the Ugly",Scooby-Doo and Scrappy-Doo (first series),12/8/79,3.951243719,Other,7.7,TV,7,0,0,1,0,1
The Sorcerer's a Menace,Scooby-Doo and Scrappy-Doo (first series),12/22/79,3.850147602,Shaggy/Scooby,7.3,TV,8,1,0,0,0,1
"Lock the Door, It's a Minotaur!",Scooby-Doo and Scrappy-Doo (first series),12/29/79,3.828641396,Shaggy/Scooby,7.5,TV,10,1,0,0,0,1
The Ransom of Scooby Chief,Scooby-Doo and Scrappy-Doo (first series),1/5/80,3.850147602,Shaggy/Scooby,6.5,TV,3,1,0,0,0,1
The Chinese Food Factory,Scooby-Doo and Scrappy-Doo (second series),11/8/80,3.555348061,Other,7.1,TV,1,0,0,1,0,1
A Fright at the Opera,Scooby-Doo and Scrappy-Doo (second series),1/24/81,3.433987204,Other,7.2,TV,5,0,0,1,0,1
Catfish Burglar Caper,Scooby-Doo and Scrappy-Doo (second series),10/2/82,3.17805383,Other,7.1,TV,3,0,0,1,0,1
Movie Monster Menace,Scooby-Doo and Scrappy-Doo (second series),10/2/82,3.218875825,Shaggy/Scooby,7.3,TV,1,1,0,0,0,1
Stake-out at the Take-out,Scooby-Doo and Scrappy-Doo (second series),10/16/82,3.258096538,Other,6.9,TV,0,0,0,1,0,1
Cable Car Caper,Scooby-Doo and Scrappy-Doo (second series),10/30/82,3.17805383,Shaggy/Scooby,7.4,TV,1,1,0,0,0,1
Comic Book Caper,Scooby-Doo and Scrappy-Doo (second series),11/6/82,3.135494216,Shaggy/Scooby,7.4,TV,3,1,0,0,0,1
A Gem of a Case,Scooby-Doo and Scrappy-Doo (second series),11/13/82,3.218875825,Shaggy/Scooby,7.1,TV,0,1,0,0,0,1
From Bad to Curse,Scooby-Doo and Scrappy-Doo (second series),11/13/82,3.135494216,Shaggy/Scooby,7.3,TV,1,1,0,0,0,1
Disappearing Car Caper,Scooby-Doo and Scrappy-Doo (second series),11/20/82,3.135494216,Shaggy/Scooby,7,TV,5,1,0,0,0,1
Close Encounter of the Worst Kind,Scooby-Doo and Scrappy-Doo (second series),11/27/82,3.135494216,Other,7.2,TV,1,0,0,1,0,1
Captain Canine Caper,Scooby-Doo and Scrappy-Doo (second series),11/27/82,3.135494216,Shaggy/Scooby,7.2,TV,4,1,0,0,0,1
Snow Job Too Small,Scooby-Doo and Scrappy-Doo (second series),12/19/82,3.258096538,Shaggy/Scooby,6.8,TV,2,1,0,0,0,1
No Sharking Zone,The New Scooby and Scrappy Doo Show,9/10/83,3.295836866,Shaggy/Scooby,7.4,TV,3,1,0,0,0,1
The Quagmire Quake Caper,The New Scooby and Scrappy Doo Show,9/10/83,3.044522438,Other,7.5,TV,5,0,0,1,0,1
The Dinosaur Deception,The New Scooby and Scrappy Doo Show,9/17/83,2.833213344,Shaggy/Scooby,7.5,TV,5,1,0,0,0,1
The Creature Came from The Chemlab,The New Scooby and Scrappy Doo Show,9/17/83,2.995732274,Other,7.7,TV,1,0,0,1,0,1
