substance_use,family_structure,female,gpa
-0.1286596744123045,Two-parent family,1,2.5
-0.4388716665668722,Single-parent family,1,9.8
0.7534145227915247,Two-parent family,0,2.5
0.034395981817042794,Two-parent family,0,3.8
-0.1286596744123045,Single-parent family,1,3.5
-0.4388716665668722,Single-parent family,0,3.8
-0.28376567048958834,Two-parent family,0,3.3
3.2131049861681826,"One-parent, one guardian",0,2.8
-0.4388716665668722,Two-parent family,0,2.8
0.020376099257495128,Two-parent family,0,1.6
3.2131049861681826,Two-parent family,0,3
-0.28376567048958834,Two-parent family,1,3.5
-0.5939776626441561,Two-parent family,0,2
-0.4388716665668722,Two-parent family,1,1.6
-0.28376567048958834,Two-parent family,1,3.3
-0.13472989681978872,"One-parent, one guardian",0,2.5
-0.26974578793004067,Two-parent family,0,4
-0.28376567048958834,Two-parent family,0,2.3
-0.1286596744123045,Two-parent family,1,3
-0.28376567048958834,"One-parent, one guardian",1,1.8
0.6468703059741149,Single-parent family,1,2.8
-0.5939776626441561,Two-parent family,0,3.8
0.048415864376590456,Two-parent family,0,3.3
3.2131049861681826,"One-parent, one guardian",0,2.8
-0.5939776626441561,Two-parent family,1,4
-0.5939776626441561,Two-parent family,1,3.3
3.2131049861681826,Single-parent family,1,2.5
-0.4388716665668722,Two-parent family,0,3
-0.28376567048958834,Two-parent family,0,3
-0.5939776626441561,Two-parent family,1,3
-0.4388716665668722,Two-parent family,1,4
3.2131049861681826,Single-parent family,1,4
-0.28376567048958834,Two-parent family,0,3.3
-0.5939776626441561,Two-parent family,0,2.3
0.38854705939483264,Two-parent family,0,3.8
-0.28376567048958834,Two-parent family,0,2.8
-0.28376567048958834,Two-parent family,1,4
-0.28376567048958834,Two-parent family,0,3
-0.4388716665668722,Two-parent family,0,4
-0.1286596744123045,Single-parent family,0,9.8
3.2131049861681826,Two-parent family,1,3
-0.28376567048958834,Two-parent family,1,3.3
-0.5939776626441561,Two-parent family,1,3.8
-0.4388716665668722,Two-parent family,1,4
-0.1286596744123045,"One-parent, one guardian",0,4
1.8531763778920596,Two-parent family,0,2.1
0.7959060796439146,Two-parent family,0,3
0.034395981817042794,Two-parent family,1,3.3
-0.28376567048958834,Two-parent family,1,4
0.014305876850010854,"One-parent, one guardian",0,3
-0.5939776626441561,Two-parent family,1,3.8
0.020376099257495128,Two-parent family,1,3.5
-0.11463979185275681,Two-parent family,1,3.5
-0.4388716665668722,Single-parent family,1,3
-0.4388716665668722,Two-parent family,0,2.4
-0.5939776626441561,Two-parent family,1,4
-0.5939776626441561,Two-parent family,0,3
-0.28376567048958834,Two-parent family,0,3
0.7959060796439146,"One-parent, one guardian",0,2.8
-0.26974578793004067,Two-parent family,1,2.8
0.05636552452865382,"One-parent, one guardian",1,2.8
-0.26974578793004067,Two-parent family,1,3.5
-0.4388716665668722,Two-parent family,0,4
0.16941187292729473,Single-parent family,0,3.3
-0.1286596744123045,Two-parent family,1,3.3
-0.28376567048958834,Two-parent family,1,4
-0.28376567048958834,Two-parent family,0,3.3
1.839156495332512,Two-parent family,0,3.3
3.2131049861681826,Two-parent family,0,2.8
-0.5939776626441561,Two-parent family,1,4
1.839156495332512,Two-parent family,0,1.9
-0.28376567048958834,Two-parent family,0,2.5
-0.26974578793004067,Two-parent family,1,1.8
-0.28376567048958834,Two-parent family,0,2.5
-0.11463979185275681,"One-parent, one guardian",1,2.3
-0.4388716665668722,Two-parent family,1,4
-0.4388716665668722,Two-parent family,1,4
-0.28376567048958834,Two-parent family,1,3.5
0.020376099257495128,Two-parent family,1,4
-0.4388716665668722,Two-parent family,1,3.8
-0.5939776626441561,Two-parent family,1,3.5
-0.5939776626441561,Two-parent family,0,2.8
3.2131049861681826,Single-parent family,0,9.8
-0.4388716665668722,Two-parent family,0,2.3
-0.4388716665668722,"One-parent, one guardian",0,3
-0.1286596744123045,Two-parent family,1,2.8
-0.28376567048958834,Two-parent family,0,3.8
0.6468703059741149,Two-parent family,0,3.3
-0.5939776626441561,Two-parent family,1,2.5
-0.28376567048958834,Two-parent family,1,3.8
-0.4388716665668722,Two-parent family,1,3.3
-0.28376567048958834,Two-parent family,1,3.7
0.6468703059741149,Two-parent family,0,2
-0.1286596744123045,Two-parent family,0,3
-0.28376567048958834,Two-parent family,0,2.8
-0.5939776626441561,"One-parent, one guardian",0,4
-0.28376567048958834,Two-parent family,0,4
-0.28376567048958834,Single-parent family,0,3.8
-0.28376567048958834,Two-parent family,1,3.3
0.020376099257495128,"One-parent, one guardian",0,3.8
