title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
Interactive Data Visualization for the Web,,,"Murray, Scott",3,4.03,O'Reilly Media,Paperback,272,2013,June,6,2013,read
Jony Ive,The Genius Behind Apple's Greatest Products,,Leander Kahney,4,3.99,Portfolio,Hardcover,274,2013,June,6,2016,read
Judgment Calls,Principle and Politics in Constitutional Law,,"Farber, Daniel A.",,3.67,"Oxford University Press, USA",Hardcover,201,2008,February,2,2013,quit-reading
"Juliet, Naked",,,"Hornby, Nick",4,3.47,Riverhead,Hardcover,406,2009,February,2,2011,read
Just Kids,,,"Smith, Patti",5,4.14,Ecco,Paperback,306,2010,September,9,2018,read
Just Mercy,A Story of Justice and Redemption,,"Stevenson, Bryan",4,4.6,Spiegel & Grau,Hardcover,336,2014,September,9,2019,read
Just My Type,A Book About Fonts,,"Garfield, Simon",4,3.77,Gotham,Hardcover,384,2011,December,12,2015,read
Karl Pearson,The Scientific Life in a Statistical Age,,"Porter, Theodore M.",3,2.88,Princeton University Press,Hardcover,352,2004,November,11,2017,read
Kenny Salwey's Tales of a River Rat,Adventures Along The Wild Mississippi,,"Salwey, Kenny",3,4.17,Voyageur Press,Hardcover,256,2005,May,5,2020,read
Kingpin,How One Hacker Took Over the Billion-Dollar Cybercrime Underground,,"Poulsen, Kevin",4,3.95,Broadway Books,Paperback,288,2012,March,3,2020,read
Kitchens of the Great Midwest,,,"Stradal, J. Ryan",5,3.77,Viking,Hardcover,310,2015,November,11,2016,read
La Cucina,A Novel of Rapture,,"Prior, Lily",0,3.46,Harper,Hardcover,288,2000,March,3,2020,quit-reading
Lab Girl,,,"Jahren, Hope",5,4.02,Knopf,Hardcover,290,2016,June,6,2018,read
Lamb,"The Gospel According to Biff, Christ's Childhood Pal",,"Moore, Christopher",3,4.25,William Morrow / HarperCollins / Harper Perennial,Paperback,444,2004,May,5,2020,read
Last Dance,Behind the Scenes at the Final Four,,"Feinstein, John",4,3.72,"Little, Brown and Company",Hardcover,384,2006,March,3,2011,read
