team,avgTicket,pctChange,avgPremTicket,cheapestTicket,beer,softDrink,hotDog,parking,program,cap,fci,fciPctChange,league,year
Houston Astros,27.98,-13.60%,69.3,,5,4.5,4.75,15,4,16.99,215.9,-3.80%,MLB,2014
Kansas City Royals,24.73,24.70%,96.55,,6.5,5,5,10,0,15,191.91,11.40%,MLB,2014
Los Angeles Angels of Anaheim,27.4,1.50%,76.74,,4.5,2.75,4.5,10,3,16,195.6,0.80%,MLB,2014
Los Angeles Dodgers,25.8,15.30%,254.19,,6.75,5.75,5.5,10,5,18,217.69,6.20%,MLB,2014
Miami Marlins,27.01,-7.70%,116.48,,8,4.5,6,15,0,19.99,221.02,-3.90%,MLB,2014
Milwaukee Brewers,24.96,0.00%,43.22,,6,2.5,3.5,9,0,16,176.84,0.00%,MLB,2014
Minnesota Twins,32.59,0.00%,74.18,,7.5,4.5,4,6,0,15,215.36,-2.70%,MLB,2014
New York Mets,25.3,0.00%,83.78,,5.75,5,6.25,22,5,19.99,229.68,2.70%,MLB,2014
New York Yankees,51.55,0.00%,305.39,,6,3,3,35,5,25,337.2,0.00%,MLB,2014
Oakland Athletics,22.84,3.30%,48.22,,5,4.5,5.25,20,5,15,200.36,11.00%,MLB,2014
Philadelphia Phillies,37.42,0.00%,86.25,,7.75,4,3.75,16,5,18,258.18,0.40%,MLB,2014
Pittsburgh Pirates,18.32,6.50%,61.84,,5.5,3.25,3.25,15,0,22,169.28,2.70%,MLB,2014
San Diego Padres,16.37,2.40%,41.18,,5,4,4,8,0,18.99,153.45,1.00%,MLB,2014
San Francisco Giants,31.63,5.10%,89.91,,7,4.5,5.25,20,5,15,239.51,0.70%,MLB,2014
Seattle Mariners,28.45,0.00%,126.82,,6,4.5,4.5,20,3,10,207.8,2.00%,MLB,2014
St. Louis Cardinals,33.84,2.20%,80.65,,6.75,5.25,4.25,10,2.5,16,233.86,1.30%,MLB,2014
Tampa Bay Rays,21.01,3.00%,87.07,,5,5,5,0,0,17.99,170.02,9.30%,MLB,2014
Texas Rangers,23.54,4.40%,61.05,,5,5.25,5,12,5,17.99,203.14,3.60%,MLB,2014
Toronto Blue Jays,22.78,0.00%,53.83,,6.82,4.77,5.23,22.74,4.55,20.55,217.69,1.10%,MLB,2014
Washington Nationals,35.24,0.00%,187.29,,6.5,5,5,10,0,12,227.96,-3.60%,MLB,2014
San Francisco 49ers,117,40.10%,320,,10.25,6,6.25,40,10,22,641.5,38.70%,NFL,2014
Dallas Cowboys,110.2,0.00%,340,,8.5,5,5.5,75,10,20,634.8,0.00%,NFL,2014
New England Patriots,122,3.10%,566.67,,7.5,4,3.75,40,5,19.95,624.7,2.20%,NFL,2014
Washington Redskins,102,0.00%,375.32,,9,5,6,57.5,5,30,597.51,1.30%,NFL,2014
Chicago Bears,108.44,4.70%,322.15,,9,5,5,49,5,23,596.76,3.30%,NFL,2014
New York Giants,111.69,0.00%,464.75,,5,3,6,30,5,25,582.76,0.00%,NFL,2014
New York Jets,105.66,-4.20%,344.41,,5,3,6,25,10,20,553.63,-4.10%,NFL,2014
Baltimore Ravens,100.19,0.00%,258.94,,8.25,7.5,5,40,0,20,547.26,0.00%,NFL,2014
Philadelphia Eagles,98.69,6.10%,217.48,,8.5,4.5,5,35,5,18,530.76,7.90%,NFL,2014
Pittsburgh Steelers,83.97,3.50%,238.75,,8,5,5.25,40,5,35,512.88,9.50%,NFL,2014
New Orleans Saints,84.87,3.20%,187.61,,9,4.75,5.5,35,5,32,507.49,9.90%,NFL,2014
Houston Texans,88.98,0.00%,260.17,,5,4.75,5.75,33.2,5,20,491.11,1.80%,NFL,2014
Minnesota Vikings,88.53,2.50%,201.21,,7.75,4.5,5.75,20,5,25,490.62,9.90%,NFL,2014
Green Bay Packers,85.61,3.60%,251.12,,7.75,4.5,5.75,40,6,17.95,486.82,4.40%,NFL,2014
Denver Broncos,87.96,4.40%,310.66,,6.75,4.5,4.75,30,5,19.95,482.22,5.20%,NFL,2014
San Diego Chargers,84.55,0.00%,170,,9,5.75,6,25,5,19.99,478.19,-0.20%,NFL,2014
Seattle Seahawks,80.77,3.40%,189.74,,8,4.5,5.75,50,3,18,472.1,8.80%,NFL,2014
Indianapolis Colts,86.32,0.00%,164,,7,5.5,5.25,20,0,18,458.27,0.00%,NFL,2014
Atlanta Falcons,78.58,-6.00%,275.55,,7.5,6.5,5.5,20,0,20,437.33,-4.30%,NFL,2014
Arizona Cardinals,82.15,3.30%,258.2,,7.25,4.25,4,14,3,20,436.09,5.30%,NFL,2014
St. Louis Rams,73.86,-0.80%,188.11,,4.5,5,4.25,20,5,28,427.44,-1.70%,NFL,2014
Oakland Raiders,64.8,0.00%,138.93,,10.7,4.5,6.75,35,5,25,420.7,4.70%,NFL,2014
Kansas City Chiefs,68.38,5.30%,202.25,,8.5,4.75,5.75,27,0,29.99,419.5,2.00%,NFL,2014
Detroit Lions,72.98,4.10%,152.67,,7.5,5,6,11,0,25,411.94,5.00%,NFL,2014
Cincinnati Bengals,71.26,3.30%,188.62,,5,5,5,26,5,20,411.04,5.20%,NFL,2014
Carolina Panthers,72.44,8.40%,276.97,,7.5,4,5,20,0,22,404.78,0.80%,NFL,2014
Tennessee Titans,67.15,2.90%,168.16,,7,4,4,30,5,25,404.58,2.90%,NFL,2014
Miami Dolphins,65.16,-8.40%,186.71,,7.75,4,6,20,5,25.99,398.12,-2.80%,NFL,2014
Tampa Bay Buccaneers,63.59,0.00%,222.31,,7.5,4.5,5,25,0,28,388.36,5.90%,NFL,2014
Buffalo Bills,62.01,7.40%,202.42,,9,5,5.5,25,0,25,383.05,4.70%,NFL,2014
Cleveland Browns,54.2,0.00%,205.02,,5,4.25,6,25,3,25,348.8,1.50%,NFL,2014
Jacksonville Jaguars,57.65,-2.30%,216.99,,7,4,5,25,0,20,345.58,-1.50%,NFL,2014
