title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
Picking Federal Judges: Lower Court Selection from Roosevelt through Reagan,"Goldman, Sheldon",,3,Yale University Press,Paperback,448,1997,July,2015,quit-reading
Pirate Latitudes,"Crichton, Michael",4,3.36,Harper,Hardcover,312,2009,January,2012,read
Playing for Pizza,"Grisham, John",4,3.38,Doubleday Books,Hardcover,262,2007,May,2013,read
Polar,"Pearson, T.R.",4,3.79,Viking Adult,Hardcover,244,2002,April,2014,read
Praying for Sleep,"Deaver, Jeffery",4,3.79,Viking Books,Hardcover,437,1994,October,2011,read
Psychotic Reactions and Carburetor Dung,"Bangs, Lester",,4.04,Anchor,Paperback,416,1987,July,2015,to-read
Purple Dots: A Novel,"Lehrer, Jim",4,3.24,Random House,Hardcover,262,1998,September,2012,read
"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx","LeBlanc, Adrian Nicole",,4.22,Scribner,Paperback,432,2003,January,2015,to-read
Ransom,"McInerney, Jay",4,3.27,Vintage,Hardcover,279,1985,February,2014,read
Ray Christensen's Gopher Tales: Stories from All Eleven University of Minnesota's Men's Sports,"Christensen, Ray",4,4.5,Sports Publishing LLC,Hardcover,204,2002,June,2012,read
Ready Player One,"Cline, Ernest",5,4.31,Random House NY,Hardcover,374,2011,April,2015,read
Reamde,"Stephenson, Neal",4,3.94,William Morrow,Hardcover,1044,2011,July,2014,read
"Reckless (It Girl, #3)","Ziegesar, Cecily von",4,3.76,Poppy,Paperback,288,2006,May,2015,read
Rembrandt's Whore,"Matton, Sylvie",2,3.38,Canongate Books,Hardcover,208,2001,July,2011,read
Restitution,"Vance, Lee",4,3.51,Knopf,Hardcover,336,2007,April,2015,read
"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)","Weisberger, Lauren",3,2.78,Simon & Schuster,Hardcover,400,2015,July,2013,read
"Road Work: Among Tyrants, Heroes, Rogues, and Beasts","Bowden, Mark",4,3.7,Penguin Books,Hardcover,480,2004,August,2015,read
"Rogue Warrior (Rogue Warrior, #1)","Marcinko, Richard",3,3.94,Atria Books,Hardcover,336,1992,November,2014,read
Romance of the Grail: The Magic and Mystery of Arthurian Myth,Joseph Campbell,,4.11,New World Library,Hardcover,304,2015,,2015,to-read
Saint Mudd,"Thayer, Steve",4,3.78,Signet,Hardcover,384,1988,July,2015,read
Scent of the Missing: Love and Partnership with a Search-and-Rescue Dog,Susannah Charleson,3,4.03,Houghton Mifflin Harcourt,Hardcover,285,2010,November,2015,read
"SEAL Team Six Outcasts (SEAL Team Six Outcasts, #1)","Wasdin, Howard E.",,3.94,Gallery Books,Hardcover,352,2012,December,2014,quit-reading
SEAL Team Six: Memoirs of an Elite Navy SEAL Sniper,"Wasdin, Howard E.",4,3.98,St. Martin's Press,Hardcover,331,2011,March,2014,read
Senior Season,"Perrotta, Tom",,3.62,St. Martin's Press,ebook,32,2011,June,2015,to-read
Seveneves,"Stephenson, Neal",,4.02,William Morrow,ebook,880,2015,April,2015,to-read
Sex and the Single Zillionaire: A Novel,"Perkins, Tom",3,2.56,William Morrow,Hardcover,304,2006,July,2011,read
Shotgun Lovesongs,Nickolas Butler,5,3.77,Thomas Dunne Books,Hardcover,320,2014,September,2015,read
Signifying Rappers: Rap and Race in the Urban Present,"Costello, Mark",5,3.33,Ecco Press,Paperback,140,1990,August,2015,read
Skate for Goal! Highlights from Minnesota's State Hockey Tournamant,"Phillips, Gary L.",5,5,Afton Press,Paperback,123,1982,June,2015,read
Slam,"Hornby, Nick",5,3.27,G.P. Putnam's Sons Books for Young Readers,Hardcover,309,2007,December,2010,read
Small Country: Stories,"Hornby, Nick",,3.1,Kiepenheuer & Witsch,,158,2011,September,2011,to-read
Solar,"McEwan, Ian",4,3.21,Random House,Hardcover,287,2010,December,2014,read
"Solitude Creek (Kathryn Dance, #4)","Deaver, Jeffery",,3.8,Grand Central Publishing,Hardcover,464,2015,April,2015,to-read
Speak of the Devil: a Novel,"Hawke, Richard",4,3.54,Random House,Hardcover,336,2006,May,2011,read
Speaking In Tongues,"Deaver, Jeffery",5,3.75,Simon & Schuster,Hardcover,336,1995,February,2011,read
Statistical Evidence,"Royall, Richard",4,4,CRC Press,Hardcover,191,1997,April,2013,read
Statistics Done Wrong: The Woefully Complete Guide,"Reinhart, Alex",4,4.15,No Starch Press,Paperback,176,2013,May,2015,read
Statler Bros. Random Memories,"Reid, Harold",4,4.41,Yell Publishing Company,Hardcover,288,2008,July,2011,read
Steve Jobs,"Isaacson, Walter",4,4.09,Simon & Schuster,Hardcover,656,2011,September,2014,read
Stone's Fall,"Pears, Iain",,3.85,Spiegel & Grau,Hardcover,594,2009,August,2011,quit-reading
Stop Stealing Sheep & Find Out How Type Works,Erik Spiekermann,4,3.89,Adobe Press,Paperback,213,2013,December,2015,read
Story of My Life,"McInerney, Jay",4,3.58,Atlantic Monthly Press,Hardcover,189,1988,August,2013,read
Straight Man,"Russo, Richard",5,4.02,Random House USA Inc,Hardcover,391,1997,November,2013,read
Stylized: A Slightly Obsessive History of Strunk & White's The Elements of Style,"Garvey, Mark",3,3.76,Touchstone,Hardcover,208,2009,January,2011,read
Success,"Amis, Martin",4,3.65,Harmony,Hardcover,224,1978,February,2013,read
Supreme Courtship,"Buckley, Christopher",4,3.63,Grand Central Publishing,Hardcover,304,2008,March,2013,read
Sweet Tooth,"McEwan, Ian",5,3.39,Nan A. Talese,Hardcover,301,2012,April,2013,read
"Sycamore Row (Jake Brigance, #2)","Grisham, John",4,3.95,Doubleday,Hardcover,447,2013,August,2014,read
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,"Sheffield, Rob",5,3.56,Dutton,Hardcover,288,2010,February,2011,read
Tampa,"Nutting, Alissa",4,3.3,Ecco,ebook,272,2013,November,2014,read
Telegraph Avenue,"Chabon, Michael",5,3.35,Fourth Estate,Hardcover,468,2012,January,2013,read
Ten Years in the Tub: A Decade Soaking in Great Books,"Hornby, Nick",,4.04,"McSweeney's, Believer Books",Hardcover,464,2013,November,2013,to-read
Tequila Mockingbird: Cocktails with a Literary Twist,"Federle, Tim",,4.06,Running Press,Hardcover,160,2013,December,2014,to-read
That Old Cape Magic,"Russo, Richard",4,3.28,Knopf,Hardcover,261,2009,March,2014,read
"The 500 (Mike Ford, #1)","Quirk, Matthew",3,3.44,Reagan Arthur Books,Hardcover,336,2012,January,2015,read
The Advocate's Devil,"Dershowitz, Alan M.",3,3.4,Grand Central Publishing,Hardcover,352,1994,March,2014,read
The Art Of The Footnote: The Intelligent Student's Guide To The Art And Science Of Annotating Texts,"Burkle-Young, Francis A.",,0,University Press of America,Hardcover,168,1996,April,2015,to-read
The Art Thief,"Charney, Noah",4,2.98,Atria Books,Hardcover,304,2007,August,2011,read
"The Artist and the Mathematician: The Story of Nicolas Bourbaki, the Genius Mathematician Who Never Existed","Aczel, Amir D.",,3.19,Basic Books,Hardcover,272,2006,January,2014,quit-reading
The Associate,John Grisham,4,3.63,Doubleday Books,Hardcover,373,2009,December,2015,read
The Astronaut Wives Club,"Koppel, Lily",3,3.22,Grand Central Publishing,Hardcover,288,2013,April,2015,read
"The Bone Woman: A Forensic Anthropologist's Search for Truth in the Mass Graves of Rwanda, Bosnia, Croatia, and Kosovo","Koff, Clea",,4.03,Random House Trade Paperbacks,Paperback,304,2001,April,2012,quit-reading
The Book of Vice: Very Naughty Things (and How to Do Them),"Sagal, Peter",4,3.43,Dey Street Books,Hardcover,272,2007,November,2011,read
The Boy Who Fell Out of the Sky,"Dornstein, Ken",3,3.48,Random House,Hardcover,320,2006,December,2010,read
The Broker,John Grisham,3,3.75,Doubleday Books,Hardcover,357,2005,December,2015,read
"The Caravaggio Conspiracy: How Five Art Dealers, Four Policemen, Three Picture Restorers, Two Auction Houses, and a Journalist Plotted to Recover Some of the World's Most Beautiful Stolen Paintings","Watson, Peter",,3.56,Doubleday Books,Hardcover,321,1983,February,2014,quit-reading
The Children Act,"McEwan, Ian",,3.66,Nan A. Talese,Hardcover,240,2014,October,2014,to-read
The CIA Document of Human Manipulation: Kubark Counterintelligence Interrogation Manual,Central Intelligence Agency (C.I.A.),3,3.37,Createspace,Paperback,128,2008,November,2015,read
The Computer from Pascal to Von Neumann,"Goldstine, Herman H.",2,3.53,Princeton University Press,Hardcover,378,1972,February,2011,read
The Confession,"Grisham, John",5,3.77,Doubleday,Hardcover,418,2010,November,2011,read
The Death and Life of Charlie St. Cloud,"Sherwood, Ben",5,3.99,Bantam Books,Hardcover,288,2004,February,2015,read
The Death of a President: November 1963,"Manchester, William",,4.22,"Harper & Row, Publishers",Hardcover,711,1967,August,2013,quit-reading
The Devil's Details: A History of the Footnote,"Zerby, Chuck",4,3.36,Invisible Cities Press Llc,Hardcover,192,2001,November,2010,read
The Devotion of Suspect X,"Higashino, Keigo",3,3.94,Minotaur Books,Hardcover,298,2005,May,2013,read
The Elements of Style,"Jr., William Strunk",5,4.18,Longman Publishing Group,Hardcover,105,1918,March,2014,read
"The Eyre Affair (Thursday Next, #1)","Fforde, Jasper",,3.92,Penguin Putnam,Hardcover,374,2001,February,2011,quit-reading
The Fan Man,"Kotzwinkle, William",,4.15,Vintage,Paperback,191,1974,June,2011,to-read
The Footprints of God,"Iles, Greg",3,3.76,Brilliance Audio,Hardcover,463,2003,January,2015,read
The Fuck-Up,"Nersesian, Arthur",,3.53,MTV Books,Paperback,304,1997,June,2011,to-read
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Larsson, Stieg",3,4.18,Knopf,Hardcover,563,2007,February,2011,read
"The Girl with the Dragon Tattoo (Millennium, #1)","Larsson, Stieg",3,4.07,Knopf,Hardcover,465,2005,April,2011,read
